Removed Member From Class: ClassName=DSD_Aerobits_RPI4_OLED Member=R10
Removed Member From Class: ClassName=DSD_Aerobits_RPI4_OLED Member=R12
Removed Member From Class: ClassName=DSD_Aerobits_RPI4_OLED Member=R17
Removed Member From Class: ClassName=DSD_Aerobits_RPI4_OLED Member=R19
Removed Member From Class: ClassName=DSD_Aerobits_RPI4_OLED Member=R21
Removed Member From Class: ClassName=DSD_Aerobits_RPI4_OLED Member=R23
Removed Member From Class: ClassName=DSD_Aerobits_RPI4_OLED Member=R24
Add Class: Class already exists: Designator
Added Member To Class: ClassName=DSD_Aerobits_RPI4_OLED Member=Component R1 0.0
Added Member To Class: ClassName=DSD_Aerobits_RPI4_OLED Member=Component R2 0.0
Added Member To Class: ClassName=DSD_Aerobits_RPI4_OLED Member=Component R3 0.0
Added Member To Class: ClassName=DSD_Aerobits_RPI4_OLED Member=Component R4 0.0
Added Member To Class: ClassName=DSD_Aerobits_RPI4_OLED Member=Component R5 0.0
Added Member To Class: ClassName=DSD_Aerobits_RPI4_OLED Member=Component R7 0.0
Added Member To Class: ClassName=DSD_Aerobits_RPI4_OLED Member=Component R8 0.0
Added Member To Class: ClassName=DSD_Aerobits_RPI4_OLED Member=Component R9 0.0
Added Member To Class: ClassName=Designator Member=Component R13 100k
Added Member To Class: ClassName=Designator Member=Component R14 10k
Added Member To Class: ClassName=Designator Member=Component R15 10k
Added Member To Class: ClassName=Designator Member=Component R16 10k
Added Member To Class: ClassName=Designator1 Member=Component R25A (R25) 4.7k
Added Member To Class: ClassName=Designator2 Member=Component R25B (R25) 4.7k
Added Member To Class: ClassName=Designator3 Member=Component R25C (R25) 4.7k
Added Member To Class: ClassName=Designator4 Member=Component R25D (R25) 4.7k
Added Member To Class: ClassName=Designator1 Member=Component R26A (R26) 4.7k
Added Member To Class: ClassName=Designator2 Member=Component R26B (R26) 4.7k
Added Member To Class: ClassName=Designator3 Member=Component R26C (R26) 4.7k
Added Member To Class: ClassName=Designator4 Member=Component R26D (R26) 4.7k
Added Member To Class: ClassName=Designator1 Member=Component R27A (R27) 10k
Added Member To Class: ClassName=Designator2 Member=Component R27B (R27) 10k
Added Member To Class: ClassName=Designator3 Member=Component R27C (R27) 10k
Added Member To Class: ClassName=Designator4 Member=Component R27D (R27) 10k
Added Member To Class: ClassName=Designator1 Member=Component R28A (R28) 220
Added Member To Class: ClassName=Designator2 Member=Component R28B (R28) 220
Added Member To Class: ClassName=Designator3 Member=Component R28C (R28) 220
Added Member To Class: ClassName=Designator4 Member=Component R28D (R28) 220
Added Member To Class: ClassName=Designator1 Member=Component R29A (R29) 220
Added Member To Class: ClassName=Designator2 Member=Component R29B (R29) 220
Added Member To Class: ClassName=Designator3 Member=Component R29C (R29) 220
Added Member To Class: ClassName=Designator4 Member=Component R29D (R29) 220
Added Room: Name=Designator
